시점,시도,주택유형,개수
2012.07,전북특별자치도,아파트,247
2012.07,제주특별자치도,아파트,125
2012.07,충청남도,아파트,267
2012.07,충청북도,아파트,1183
2012.08,강원특별자치도,아파트,2070
2012.08,경기도,아파트,5786
2012.08,경상남도,아파트,1004
2012.08,경상북도,아파트,1362
2012.08,광주광역시,아파트,4229
2012.08,대구광역시,아파트,637
2012.08,대전광역시,아파트,0
2012.08,부산광역시,아파트,2595
2012.08,서울특별시,아파트,3417
2012.08,세종특별자치시,아파트,478
2012.08,울산광역시,아파트,343
2012.08,인천광역시,아파트,428
2012.08,전라남도,아파트,114
2012.08,전북특별자치도,아파트,1561
2012.08,제주특별자치도,아파트,647
2012.08,충청남도,아파트,1692
2012.08,충청북도,아파트,2317
2012.09,강원특별자치도,아파트,522
2012.09,경기도,아파트,10903
2012.09,경상남도,아파트,1831
2012.09,경상북도,아파트,1531
2012.09,광주광역시,아파트,870
2012.09,대구광역시,아파트,18
2012.09,대전광역시,아파트,680
2012.09,부산광역시,아파트,1456
2012.09,서울특별시,아파트,5827
2012.09,세종특별자치시,아파트,825
2012.09,울산광역시,아파트,2855
2012.09,인천광역시,아파트,0
2012.09,전라남도,아파트,1412
2012.09,전북특별자치도,아파트,241
2012.09,제주특별자치도,아파트,1038
2012.09,충청남도,아파트,1087
2012.09,충청북도,아파트,762
2012.10,강원특별자치도,아파트,740
2012.10,경기도,아파트,9263
2012.10,경상남도,아파트,3751
2012.10,경상북도,아파트,745
2012.10,광주광역시,아파트,2108
2012.10,대구광역시,아파트,959
2012.10,대전광역시,아파트,425
2012.10,부산광역시,아파트,2262
2012.10,서울특별시,아파트,1313
2012.10,세종특별자치시,아파트,1200
2012.10,울산광역시,아파트,563
2012.10,인천광역시,아파트,2633
2012.10,전라남도,아파트,43
2012.10,전북특별자치도,아파트,689
2012.10,제주특별자치도,아파트,174
2012.10,충청남도,아파트,431
2012.10,충청북도,아파트,79
2012.11,강원특별자치도,아파트,43
2012.11,경기도,아파트,1374
2012.11,경상남도,아파트,581
2012.11,경상북도,아파트,2108
2012.11,광주광역시,아파트,1145
2012.11,대구광역시,아파트,291
2012.11,대전광역시,아파트,162
2012.11,부산광역시,아파트,3804
2012.11,서울특별시,아파트,429
2012.11,세종특별자치시,아파트,3481
2012.11,울산광역시,아파트,111
2012.11,인천광역시,아파트,24
2012.11,전라남도,아파트,1223
2012.11,전북특별자치도,아파트,2217
2012.11,제주특별자치도,아파트,91
2012.11,충청남도,아파트,36
2012.11,충청북도,아파트,1372
2012.12,강원특별자치도,아파트,182
2012.12,경기도,아파트,13954
2012.12,경상남도,아파트,571
2012.12,경상북도,아파트,1416
2012.12,광주광역시,아파트,1053
2012.12,대구광역시,아파트,5818
2012.12,대전광역시,아파트,2443
2012.12,부산광역시,아파트,2693
2012.12,서울특별시,아파트,1493
2012.12,세종특별자치시,아파트,2605
2012.12,울산광역시,아파트,366
2012.12,인천광역시,아파트,1330
2012.12,전라남도,아파트,4727
2012.12,전북특별자치도,아파트,1891
2012.12,제주특별자치도,아파트,108
2012.12,충청남도,아파트,3585
2012.12,충청북도,아파트,798
2013.01,강원특별자치도,아파트,0
2013.01,경기도,아파트,2140
2013.01,경상남도,아파트,260
2013.01,경상북도,아파트,1264
2013.01,광주광역시,아파트,598
2013.01,대구광역시,아파트,86
2013.01,대전광역시,아파트,16
2013.01,부산광역시,아파트,322
2013.01,서울특별시,아파트,864
2013.01,세종특별자치시,아파트,1327
2013.01,울산광역시,아파트,300
2013.01,인천광역시,아파트,198
2013.01,전라남도,아파트,257
2013.01,전북특별자치도,아파트,228
2013.01,제주특별자치도,아파트,67
2013.01,충청남도,아파트,1500
2013.01,충청북도,아파트,42
2013.02,강원특별자치도,아파트,724
2013.02,경기도,아파트,8976
2013.02,경상남도,아파트,50
2013.02,경상북도,아파트,872
2013.02,광주광역시,아파트,965
2013.02,대구광역시,아파트,908
2013.02,대전광역시,아파트,102
2013.02,부산광역시,아파트,416
2013.02,서울특별시,아파트,1772
2013.02,세종특별자치시,아파트,1698
2013.02,울산광역시,아파트,0
2013.02,인천광역시,아파트,197
2013.02,전라남도,아파트,40
2013.02,전북특별자치도,아파트,2169
2013.02,제주특별자치도,아파트,97
2013.02,충청남도,아파트,1420
2013.02,충청북도,아파트,372
2013.03,강원특별자치도,아파트,320
2013.03,경기도,아파트,3018
2013.03,경상남도,아파트,3330
2013.03,경상북도,아파트,1250
2013.03,광주광역시,아파트,0
2013.03,대구광역시,아파트,3909
2013.03,대전광역시,아파트,638
2013.03,부산광역시,아파트,955
2013.03,서울특별시,아파트,2511
2013.03,세종특별자치시,아파트,1524
2013.03,울산광역시,아파트,1942
2013.03,인천광역시,아파트,196
2013.03,전라남도,아파트,104
2013.03,전북특별자치도,아파트,14
2013.03,제주특별자치도,아파트,55
2013.03,충청남도,아파트,120
